
1 2021-06-26 00:26:24.759784  5.54 0
2 2021-06-26 00:26:25.279454  12.26 3
3 2021-06-26 00:26:25.617376  17.58 2
4 2021-06-26 00:26:25.946411  13.84 1
5 2021-06-26 00:26:26.247926  17.47 2
6 2021-06-26 00:26:26.558418  16.78 4
7 2021-06-26 00:26:26.860314  18.18 4
8 2021-06-26 00:26:27.152421  15.81 5
9 2021-06-26 00:26:27.443529  17.77 5
10 2021-06-26 00:26:27.737909  15.34 1
11 2021-06-26 00:26:28.041240  16.71 2
12 2021-06-26 00:26:28.356117  14.03 1
13 2021-06-26 00:26:28.663870  19.08 2
14 2021-06-26 00:26:28.987478  17.78 0
15 2021-06-26 00:26:29.311149  14.55 2
16 2021-06-26 00:26:29.623709  18.51 1
17 2021-06-26 00:26:29.930473  17.08 0
18 2021-06-26 00:26:30.241860  16.39 0
19 2021-06-26 00:26:30.549780  16.95 3
20 2021-06-26 00:26:30.854506  16.66 3
21 2021-06-26 00:26:31.152275  19.59 1
22 2021-06-26 00:26:31.433367  19.86 0
23 2021-06-26 00:26:31.712707  17.75 2
24 2021-06-26 00:26:32.013847  16.62 2
25 2021-06-26 00:26:32.287982  18.22 2
26 2021-06-26 00:26:32.582828  16.19 4
27 2021-06-26 00:26:32.906826  19.08 3
28 2021-06-26 00:26:33.205140  17.86 2
29 2021-06-26 00:26:33.507658  17.2 5
30 2021-06-26 00:26:33.873507  15.23 2
31 2021-06-26 00:26:34.216487  15.16 3
32 2021-06-26 00:26:34.504369  17.23 2
33 2021-06-26 00:26:34.802090  15.86 5
34 2021-06-26 00:26:35.094156  14.71 2
35 2021-06-26 00:26:35.389818  16.73 1
36 2021-06-26 00:26:35.671684  19.06 2
37 2021-06-26 00:26:35.957340  19.28 2
38 2021-06-26 00:26:36.232197  18.37 1
39 2021-06-26 00:26:36.515099  17.33 2
40 2021-06-26 00:26:36.813672  17.53 3
41 2021-06-26 00:26:37.129364  16.68 2
42 2021-06-26 00:26:37.411174  17.43 3
43 2021-06-26 00:26:37.688738  17.41 0
44 2021-06-26 00:26:37.977317  19.24 4
45 2021-06-26 00:26:38.259611  18.89 2
46 2021-06-26 00:26:38.545344  18.33 0
47 2021-06-26 00:26:38.836799  17.98 1
48 2021-06-26 00:26:39.134073  15.94 1
49 2021-06-26 00:26:39.427599  20.19 4
50 2021-06-26 00:26:39.712010  18.43 0
51 2021-06-26 00:26:39.998598  18.57 4
52 2021-06-26 00:26:40.274996  19.61 1
53 2021-06-26 00:26:40.587584  15.42 2
54 2021-06-26 00:26:40.886701  15.84 5
55 2021-06-26 00:26:41.192515  15.92 5
56 2021-06-26 00:26:41.499426  17.98 2
57 2021-06-26 00:26:41.801915  16.31 3
58 2021-06-26 00:26:42.131266  12.97 1
59 2021-06-26 00:26:42.447821  17.76 1
60 2021-06-26 00:26:42.756950  15.94 3
61 2021-06-26 00:26:43.075135  16.42 1
62 2021-06-26 00:26:43.405008  15.35 3
63 2021-06-26 00:26:43.766241  13.7 3
64 2021-06-26 00:26:44.119909  15.09 3
65 2021-06-26 00:26:44.460507  16.26 3
66 2021-06-26 00:26:44.781492  15.7 2
67 2021-06-26 00:26:45.087237  17.25 1
68 2021-06-26 00:26:45.394238  15.97 1
69 2021-06-26 00:26:45.686306  16.64 4
70 2021-06-26 00:26:46.004852  14.63 3
71 2021-06-26 00:26:46.329196  13.93 3
72 2021-06-26 00:26:46.639829  16.53 3
73 2021-06-26 00:26:46.955159  15.19 3
74 2021-06-26 00:26:47.262737  15.91 3
75 2021-06-26 00:26:47.575765  15.16 1
76 2021-06-26 00:26:47.879287  17.54 1
77 2021-06-26 00:26:48.183436  15.53 0
78 2021-06-26 00:26:48.486300  17.23 1
79 2021-06-26 00:26:48.799271  16.85 2
